batch_id	batch_name	cond	cell_nm	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
2	1CDS1_2891	1CDS1	1CDS1_37	0.290311879	0.03873034	0.107017186	0.056464308	0.312078966	440224	0.083903511	0.004696147	1	2.319585292	181	early-S	0.13710676	0.65003845	24750446.05	1.09411579
2	1CDS1_2891	1CDS1	1CDS1_38	0.325542571	0.012011212	0.736983356	0.051724138	0.075115197	1798	0.129906261	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_41	0.39640748	0.009992713	0.677721975	0.058722359	0.290906525	4070	0.629525068	0.194432461	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_42	0.301956896	0.040184672	0.086636593	0.057015528	0.302609051	430830	0.138088801	-0.01244268	1	2.274053711	610	late-S/G2	0.092060996	0.802420777	25875294.96	1.225075381
2	1CDS1_2891	1CDS1	1CDS1_43	0.413082165	0.012245596	0.147649394	0.053419545	0.396565061	23044	0.105611494	0.115469326	1	2.113197606	685	late-S/G2	0.076622531	0.835033644	25506016.9	1.324263427
2	1CDS1_2891	1CDS1	1CDS1_44	0.109589041	0	0.69273321	0.110098709	0.102481818	1317	0.122949752	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_45	0.258314801	0.024326954	0.135460111	0.055536947	0.385537061	280642	0.072271449	0.009847816	1	2.359601981	45	G1	0.185823531	0.459503177	21898210.96	1.015461055
2	1CDS1_2891	1CDS1	1CDS1_46	0.260063247	0.039903811	0.075725654	0.090842803	0.448667255	445715	0.158614386	0.094787361	1	2.352118793	391	early-S	0.114655505	0.749494606	22298121.45	1.231012611
2	1CDS1_2891	1CDS1	1CDS1_47	0.307147008	0.029074821	0.136933966	0.051779408	0.502588853	356242	0.085620698	0.011782255	1	2.358612513	57	G1	0.181007847	0.50815629	21470111.47	1.016048402
2	1CDS1_2891	1CDS1	1CDS1_48	0.187711438	0.007618054	0.796103959	0.071976617	0.222136344	10948	0.062616392	0.097667838	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_51	0.29347079	0.005821909	0.251476603	0.0587427	0.488178597	5822	0.095347076	0.285179014	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_52	0.255790076	0.022503237	0.1017687	0.077273157	0.381066104	222147	0.156441387	0.08651412	1	2.417300871	247	early-S	0.120538379	0.709895513	24036975.24	1.084577913
2	1CDS1_2891	1CDS1	1CDS1_53	0.272513599	0.038106954	0.464472436	0.089285976	0.343744897	409202	0.122734334	0.045004688	1	2.170456206	389	early-S	0.112485553	0.739966522	27251704.56	1.250159614
2	1CDS1_2891	1CDS1	1CDS1_54	0.300691865	0.038437133	0.086682729	0.066001405	0.288369854	397037	0.160034815	0.022087319	1	2.161878024	491	early-S	0.098372727	0.787457046	26130153.24	1.261879205
2	1CDS1_2891	1CDS1	1CDS1_55	0.28816064	0.010765385	0.152300555	0.138735847	0.373725792	23051	0.033737249	-0.006275343	1	2.459581427	193	early-S	0.147554376	0.644644134	26828082.6	1.122911008
